,movie_title,director_name,actor_1_name,actor_2_name,actor_3_name,genres,crew
0,2.0,Shankar,Rajinikanth,Akshay Kumar,Amy Jackson,"Action, Science Fiction, Fantasy","Shankar Rajinikanth Akshay Kumar Amy Jackson Action, Science Fiction, Fantasy"
1,Sarkar,A.R. Murugadoss,Vijay,Keerthy Suresh,Varalaxmi Sarathkumar,"Action, Drama","A.R. Murugadoss Vijay Keerthy Suresh Varalaxmi Sarathkumar Action, Drama"
2,Ratsasan,Ram Kumar,Vishnu Vishal,Amala Paul,Suzane George,"Action, Adventure, Thriller, Crime","Ram Kumar Vishnu Vishal Amala Paul Suzane George Action, Adventure, Thriller, Crime"
3,96,C. Prem Kumar,Vijay Sethupathi,Trisha Krishnan,Aditya Baskar,Romance,C. Prem Kumar Vijay Sethupathi Trisha Krishnan Aditya Baskar Romance
4,Vada Chennai,Vetrimaaran,Dhanush,Andrea Jeremiah,Samuthirakani,"Action, Crime, Drama","Vetrimaaran Dhanush Andrea Jeremiah Samuthirakani Action, Crime, Drama"
5,Imaikkaa Nodigal,R. Ajay Gnanamuthu,Nayanthara,Anurag Kashyap,Atharvaa Murali,"Action, Thriller, Drama, Crime","R. Ajay Gnanamuthu Nayanthara Anurag Kashyap Atharvaa Murali Action, Thriller, Drama, Crime"
6,Pariyerum Perumal,Mari Selvaraj,Kathir,Anandhi,Yogi Babu,"Romance, Drama","Mari Selvaraj Kathir Anandhi Yogi Babu Romance, Drama"
7,Kaala,Pa. Ranjith,Rajinikanth,Nana Patekar,Samuthirakani,"Action, Crime, Drama","Pa. Ranjith Rajinikanth Nana Patekar Samuthirakani Action, Crime, Drama"
8,Thaanaa Serndha Koottam,Vignesh Shivan,Suriya,Keerthy Suresh,Ramya Krishnan,"Action, Comedy, Crime","Vignesh Shivan Suriya Keerthy Suresh Ramya Krishnan Action, Comedy, Crime"
9,Adanga Maru,Karthik Thangavel,Jayam Ravi,Raashii Khanna,Sampath Raj,"Action, Thriller, Crime","Karthik Thangavel Jayam Ravi Raashii Khanna Sampath Raj Action, Thriller, Crime"
10,Irumbu Thirai,P. S. Mithran,Arjun Sarja,Vishal Krishna,Samantha Ruth Prabhu,"Thriller, Action","P. S. Mithran Arjun Sarja Vishal Krishna Samantha Ruth Prabhu Thriller, Action"
11,Maari 2,Balaji Mohan,Dhanush,Sai Pallavi,Krishna Kulasekaran,"Action, Comedy","Balaji Mohan Dhanush Sai Pallavi Krishna Kulasekaran Action, Comedy"
12,Kadaikutty Singam,Pandiraj,Karthi,Sayesha Saigal,Sathyaraj,"Romance, Comedy, Family, Action","Pandiraj Karthi Sayesha Saigal Sathyaraj Romance, Comedy, Family, Action"
13,U Turn,Pawan Kumar,Samantha Ruth Prabhu,Aadhi Pinisetty,Rahul Ravindran,"Thriller, Horror, Crime","Pawan Kumar Samantha Ruth Prabhu Aadhi Pinisetty Rahul Ravindran Thriller, Horror, Crime"
14,Kolamavu Kokila,Nelson Dilipkumar,Nayanthara,Yogi Babu,Saranya Ponvannan,"Comedy, Thriller","Nelson Dilipkumar Nayanthara Yogi Babu Saranya Ponvannan Comedy, Thriller"
15,Nota,Anand Shankar,Vijay Deverakonda,Mehreen Pirzada,Sathyaraj,Drama,Anand Shankar Vijay Deverakonda Mehreen Pirzada Sathyaraj Drama
16,Sei,Raj Babu,Nakul,Aanchal Munjal,Prakash Raj,"Drama, Romance, Thriller","Raj Babu Nakul Aanchal Munjal Prakash Raj Drama, Romance, Thriller"
17,Lakshmi,A. L. Vijay,Prabhu Deva,Ditya Bhande,Aishwarya Rajesh,"Family, Drama, Comedy","A. L. Vijay Prabhu Deva Ditya Bhande Aishwarya Rajesh Family, Drama, Comedy"
18,Goli Soda 2,S. D. Vijay Milton,Samuthirakani,Gautham Vasudev Menon,Bharath Seeni,"Drama, Action","S. D. Vijay Milton Samuthirakani Gautham Vasudev Menon Bharath Seeni Drama, Action"
19,Seethakathi,Balaji Tharaneetharan,Vijay Sethupathi,Mouli,Archana,"Comedy, Drama","Balaji Tharaneetharan Vijay Sethupathi Mouli Archana Comedy, Drama"
20,Mannar Vagaiyara,Boopathy Pandian,Vimal,Prabhu,Anandhi,"Comedy, Romance","Boopathy Pandian Vimal Prabhu Anandhi Comedy, Romance"
21,Kanaa,Arunraja Kamaraj,Aishwarya Rajesh,Sathyaraj,Darshan,"Drama, Family","Arunraja Kamaraj Aishwarya Rajesh Sathyaraj Darshan Drama, Family"
22,Tik Tik Tik,Shakti Soundar Rajan,Jayam Ravi,Nivetha Pethuraj,Aaron Aziz,"Science Fiction, Thriller, Adventure","Shakti Soundar Rajan Jayam Ravi Nivetha Pethuraj Aaron Aziz Science Fiction, Thriller, Adventure"
23,Thuppakki Munai,Dinesh Selvaraj,Vikram Prabhu,Hansika Motwani,M. S. Bhaskar,"Romance, Action, Thriller","Dinesh Selvaraj Vikram Prabhu Hansika Motwani M. S. Bhaskar Romance, Action, Thriller"
24,Chekka Chivantha Vaanam,Mani Ratnam,Arvind Swamy,Vijay Sethupathi,Arun Vijay,"Action, Crime, Thriller","Mani Ratnam Arvind Swamy Vijay Sethupathi Arun Vijay Action, Crime, Thriller"
25,Gulaebaghavali,Kalyaan,Prabhu Deva,Hansika Motwani,Revathi,"Comedy, Romance","Kalyaan Prabhu Deva Hansika Motwani Revathi Comedy, Romance"
26,Kalakalappu 2,Sundar C,Jiiva,Jai Sampath,Shiva,"Action, Comedy","Sundar C Jiiva Jai Sampath Shiva Action, Comedy"
27,Bhaskar Oru Rascal,Siddique,Arvind Swamy,Amala Paul,Nainika,"Comedy, Action, Romance","Siddique Arvind Swamy Amala Paul Nainika Comedy, Action, Romance"
28,Iravukku Aayiram Kangal,Mu. Maran,Arulnithi,Ajmal Ameer,Mahima Nambiar,"Action, Crime, Thriller","Mu. Maran Arulnithi Ajmal Ameer Mahima Nambiar Action, Crime, Thriller"
29,Mohini,Ramana Madhesh,Trisha Krishnan,Jacky Bhagnani,Yogi Babu,"Comedy, Horror, Thriller","Ramana Madhesh Trisha Krishnan Jacky Bhagnani Yogi Babu Comedy, Horror, Thriller"
30,Vishwaroopam II,Kamal Haasan,Kamal Haasan,Rahul Bose,Pooja Kumar,"Action, Thriller","Kamal Haasan Kamal Haasan Rahul Bose Pooja Kumar Action, Thriller"
31,Torchlight,Abdul Majith,Sadha,Riythvika,A. Venkatesh,Drama,Abdul Majith Sadha Riythvika A. Venkatesh Drama
32,Nimir,Priyadarshan,Udhayanidhi Stalin,Namitha Pramod,Parvatii Nair,"Comedy, Thriller","Priyadarshan Udhayanidhi Stalin Namitha Pramod Parvatii Nair Comedy, Thriller"
33,Saamy²,Hari,Vikram,Keerthy Suresh,Prabhu,"Action, Thriller, Romance","Hari Vikram Keerthy Suresh Prabhu Action, Thriller, Romance"
34,Silukkuvarupatti Singam,Chella Ayyavu,Vishnu Vishal,Regina Cassandra,Oviya Helen,"Action, Comedy","Chella Ayyavu Vishnu Vishal Regina Cassandra Oviya Helen Action, Comedy"
35,Annanukku Jey,La. Rajkumar,Dinesh Ravi,Mahima Nambiar,Radha Ravi,"Comedy, Drama","La. Rajkumar Dinesh Ravi Mahima Nambiar Radha Ravi Comedy, Drama"
36,Naachiyaar,Bala,Jyothika,G. V. Prakash Kumar,Rockline Venkatesh,"Crime, Thriller","Bala Jyothika G. V. Prakash Kumar Rockline Venkatesh Crime, Thriller"
37,Marainthirunthu Paarkum Marmam Enna,R. Rahesh,Dhruva,Aishwarya Dutta,Anjena Kirti,"Family, Crime, Romance","R. Rahesh Dhruva Aishwarya Dutta Anjena Kirti Family, Crime, Romance"
38,Sandakozhi 2,N. Linguswamy,Vishal Krishna,Keerthy Suresh,Rajkiran,"Family, Action, Romance","N. Linguswamy Vishal Krishna Keerthy Suresh Rajkiran Family, Action, Romance"
39,Sketch,Vijay Chandar,Vikram,Tamannaah Bhatia,Soori,Action,Vijay Chandar Vikram Tamannaah Bhatia Soori Action
40,Yemaali,V. Z. Durai,Samuthirakani,Sam Jones,Athulya Ravi,"Thriller, Romance","V. Z. Durai Samuthirakani Sam Jones Athulya Ravi Thriller, Romance"
41,Tamizh Padam 2,C. S. Amudhan,Shiva,Iswarya Menon,Sathish,Comedy,C. S. Amudhan Shiva Iswarya Menon Sathish Comedy
42,Kaatrin Mozhi,Radha Mohan,Jyothika,Vidharth,Lakshmi Manchu,"Comedy, Drama","Radha Mohan Jyothika Vidharth Lakshmi Manchu Comedy, Drama"
43,Vandi,Rajesh Balachandiran,Vidharth,Chandhini Tamilarasan,John Vijay,"Action, Thriller","Rajesh Balachandiran Vidharth Chandhini Tamilarasan John Vijay Action, Thriller"
44,Mohana,Ra Anand,Rajendran,Powerstar Srinivasan,Kalyani Nair,Comedy,Ra Anand Rajendran Powerstar Srinivasan Kalyani Nair Comedy
45,Oru Nalla Naal Paathu Solren,P. Arumugakumar,Vijay Sethupathi,Gautham Karthik,Gayathrie Shankar,"Adventure, Comedy, Action","P. Arumugakumar Vijay Sethupathi Gautham Karthik Gayathrie Shankar Adventure, Comedy, Action"
46,Pyaar Prema Kaadhal,Elan,Harish Kalyan,Raiza Wilson,Anand Babu,"Romance, Drama, Comedy","Elan Harish Kalyan Raiza Wilson Anand Babu Romance, Drama, Comedy"
47,Iruttu Araiyil Murattu Kuthu,Santhosh P. Jayakumar,Gautham Karthik,Vaibhavi Shandilya,Yashika Anand,"Comedy, Horror","Santhosh P. Jayakumar Gautham Karthik Vaibhavi Shandilya Yashika Anand Comedy, Horror"
48,Seemaraja,Ponram,Sivakarthikeyan,Samantha Ruth Prabhu,Simran,"Drama, Comedy, Romance, Action","Ponram Sivakarthikeyan Samantha Ruth Prabhu Simran Drama, Comedy, Romance, Action"
49,Diya,A. L. Vijay,Sai Pallavi,Naga Shaurya,RJ Balaji,"Thriller, Romance, Horror","A. L. Vijay Sai Pallavi Naga Shaurya RJ Balaji Thriller, Romance, Horror"
50,Onaaigal Jakkiradhai,JPR,Kabali Vishwanth,Riythvika,Baby Amrutha,"Horror, Drama","JPR Kabali Vishwanth Riythvika Baby Amrutha Horror, Drama"
51,Semma Botha Aagatha,Badri Venkatesh,Atharvaa Murali,Mishti Chakravarty,Anaika Soti,"Romance, Action, Comedy","Badri Venkatesh Atharvaa Murali Mishti Chakravarty Anaika Soti Romance, Action, Comedy"
52,Savarakathi,G. R. Adithya,Ram,Poorna,Mysskin,"Drama, Family","G. R. Adithya Ram Poorna Mysskin Drama, Family"
53,Merku Thodarchi Malai,Lenin Bharathi,Antony,Gayathri Krishna,Abu Valayankulam,Drama,Lenin Bharathi Antony Gayathri Krishna Abu Valayankulam Drama
54,Aan Devathai,Thamira,Samuthirakani,Ramya Pandian,Kasturi Shankar,"Drama, Family","Thamira Samuthirakani Ramya Pandian Kasturi Shankar Drama, Family"
55,Mercury,Karthik Subbaraj,Prabhu Deva,Sananth,Indhuja Ravichandran,"Thriller, Horror","Karthik Subbaraj Prabhu Deva Sananth Indhuja Ravichandran Thriller, Horror"
56,Nagesh Thiraiyarangam,Mohamad Issack,Aari Arjuna,Ashna Zaveri,Masoom Shankar,"Romance, Horror","Mohamad Issack Aari Arjuna Ashna Zaveri Masoom Shankar Romance, Horror"
57,Raja Ranguski,Dharani Dharan,Metro Shirish,Chandhini Tamilarasan,Kalloori Vinoth,"Crime, Thriller, Romance","Dharani Dharan Metro Shirish Chandhini Tamilarasan Kalloori Vinoth Crime, Thriller, Romance"
58,Junga,Gokul,Vijay Sethupathi,Sayesha Saigal,Madonna Sebastian,"Action, Comedy","Gokul Vijay Sethupathi Sayesha Saigal Madonna Sebastian Action, Comedy"
59,Sema,Vallikanth,G. V. Prakash Kumar,Arthana Binu,Sujatha Sivakumar,"Action, Comedy","Vallikanth G. V. Prakash Kumar Arthana Binu Sujatha Sivakumar Action, Comedy"
60,Johnny,P Vetriselvan,Prabhu,Prashanth,Sanchita Shetty,"Action, Drama","P Vetriselvan Prabhu Prashanth Sanchita Shetty Action, Drama"
61,X Videos,Sajo Sundar,Ajay Raj,Akriti Singh,Abhinav,"Drama, Thriller","Sajo Sundar Ajay Raj Akriti Singh Abhinav Drama, Thriller"
62,Aaruthra,Pa. Vijay,Pa. Vijay,K. Bhagyaraj,S. A. Chandrasekhar,Drama,Pa. Vijay Pa. Vijay K. Bhagyaraj S. A. Chandrasekhar Drama
63,Andhra Mess,Jai,Bharat Raj,Thejaswini,Pooja Devariya,"Thriller, Action","Jai Bharat Raj Thejaswini Pooja Devariya Thriller, Action"
64,Pakshi,Jagadeesan Subu,Lakshmi Priyaa,Omkar Das Manikpuri,Vira Sathidar,"Thriller, Adventure","Jagadeesan Subu Lakshmi Priyaa Omkar Das Manikpuri Vira Sathidar Thriller, Adventure"
65,Thimiru Pudichavan,Ganeshaa,Vijay Antony,Nivetha Pethuraj,Boxer Dheena,"Action, Drama","Ganeshaa Vijay Antony Nivetha Pethuraj Boxer Dheena Action, Drama"
66,Madura Veeran,P. G. Muthiah,Shanmuga Pandian,Meenakshi,Samuthirakani,"Action, Family","P. G. Muthiah Shanmuga Pandian Meenakshi Samuthirakani Action, Family"
67,Odu Raja Odu,Nishanth Ravindaran,Guru Somasundaram,Nassar,Anand Sami,"Comedy, Drama","Nishanth Ravindaran Guru Somasundaram Nassar Anand Sami Comedy, Drama"
68,Kalavani Mappillai,Gandhi Manivasagam,Dinesh Ravi,Mirnaa,Anandaraj,"Action, Comedy, Romance","Gandhi Manivasagam Dinesh Ravi Mirnaa Anandaraj Action, Comedy, Romance"
69,Kalari,Kiran Chand,Krishna Kulasekaran,Samyuktha,Vidhya Pradeep,"Action, Drama","Kiran Chand Krishna Kulasekaran Samyuktha Vidhya Pradeep Action, Drama"
70,60 Vayadhu Maaniram,Radha Mohan,Vikram Prabhu,Prakash Raj,Samuthirakani,"Family, Drama","Radha Mohan Vikram Prabhu Prakash Raj Samuthirakani Family, Drama"
71,Sollividava,Arjun Sarja,Chandan Kumar,Aishwarya Arjun,Suhasini Maniratnam,"Action, Drama, Romance","Arjun Sarja Chandan Kumar Aishwarya Arjun Suhasini Maniratnam Action, Drama, Romance"
72,Merlin,Keera,Vishnu Priyan,Ashwini Chandrashekaran,Lollu Sabha Jeeva,Drama,Keera Vishnu Priyan Ashwini Chandrashekaran Lollu Sabha Jeeva Drama
73,Jarugandi,Pitchumani,Jai Sampath,Reba Monica John,Amit Kumar Tiwari,"Romance, Comedy, Action","Pitchumani Jai Sampath Reba Monica John Amit Kumar Tiwari Romance, Comedy, Action"
74,Utharavu Maharaja,Asif Kuraishi,Udhaya,Prabhu,Kovai Sarala,"Romance, Fantasy, Comedy","Asif Kuraishi Udhaya Prabhu Kovai Sarala Romance, Fantasy, Comedy"
75,Veera,K. Rajaraman,Krishna Kulasekaran,Iswarya Menon,Karunakaran,"Romance, Comedy","K. Rajaraman Krishna Kulasekaran Iswarya Menon Karunakaran Romance, Comedy"
76,Baaram,Priya Krishnaswamy,Raju,Sugumar Shanmugam,Supa Muthukumar,Drama,Priya Krishnaswamy Raju Sugumar Shanmugam Supa Muthukumar Drama
77,Dhachka,Devik Rathod,Rajendra Chawla,Aditi Jain,Jai Kumar,Drama,Devik Rathod Rajendra Chawla Aditi Jain Jai Kumar Drama
78,Kutram Nadanthathu Enna,Unknown,Nassar,Balu,Vignesh Karthik,,Unknown Nassar Balu Vignesh Karthik 
79,Kaali,Kiruthiga Udhayanidhi,Vijay Antony,Sunaina,Anjali,"Action, Drama","Kiruthiga Udhayanidhi Vijay Antony Sunaina Anjali Action, Drama"
80,Genius,Suseenthiran,Roshan,Priyaa Lal,Adukalam Naren,Drama,Suseenthiran Roshan Priyaa Lal Adukalam Naren Drama
81,Kalki,Dhilip Kumar,Kishore,Yasmin Ponnappa,Mithraboomi Saravanan,"Drama, Romance, Science Fiction","Dhilip Kumar Kishore Yasmin Ponnappa Mithraboomi Saravanan Drama, Romance, Science Fiction"
82,Vidhi Mathi Ultaa,Vijay Balaji,Rameez Raja,Janani Iyer,Daniel Balaji,"Drama, Comedy","Vijay Balaji Rameez Raja Janani Iyer Daniel Balaji Drama, Comedy"
83,Billa Pandi,Saravana Sakthi,R. K. Suresh,Indhuja Ravichandran,Yogi Babu,"Action, Romance","Saravana Sakthi R. K. Suresh Indhuja Ravichandran Yogi Babu Action, Romance"
84,Kathiruppor Pattiyal,Balaiya D. Rajasekhar,Sachin Mani,Nandita Swetha,Rajendran,"Romance, Comedy","Balaiya D. Rajasekhar Sachin Mani Nandita Swetha Rajendran Romance, Comedy"
85,Ivanukku Engeyo Macham Irukku,A. R. Mukesh,Vimal,Ashna Zaveri,Anandaraj,"Comedy, Romance","A. R. Mukesh Vimal Ashna Zaveri Anandaraj Comedy, Romance"
86,Kaathadi,Kalyaan,Avishek Karthik,Sai Dhanshika,John Vijay,"Action, Comedy","Kalyaan Avishek Karthik Sai Dhanshika John Vijay Action, Comedy"
87,TEN RUPEES NOTE,MURALIDHARAN,AAKASH,AVINASH,unknown,Comedy,MURALIDHARAN AAKASH AVINASH unknown Comedy
88,Traffic Ramasamy,Vicky Anand,S. A. Chandrasekhar,Prakash Raj,Rohini,Drama,Vicky Anand S. A. Chandrasekhar Prakash Raj Rohini Drama
89,Mr. Chandramouli,Thiru,Gautham Karthik,Karthik Muthuraman,Regina Cassandra,"Romance, Action, Family","Thiru Gautham Karthik Karthik Muthuraman Regina Cassandra Romance, Action, Family"
90,Oru Kuppai Kathai,Kaali Rangasamy,Dinesh,Manisha Yadav,Yogi Babu,"Comedy, Drama","Kaali Rangasamy Dinesh Manisha Yadav Yogi Babu Comedy, Drama"
91,Kasu Mela Kasu,K. S. Palani,Mayilsamy,Ganja Karuppu,Kovai Sarala,"Comedy, Romance","K. S. Palani Mayilsamy Ganja Karuppu Kovai Sarala Comedy, Romance"
92,33km From KL,K. S. Umaagaanthan,Ben G,Kavimaran THR Raaga,Logeswaran,"Mystery, Thriller","K. S. Umaagaanthan Ben G Kavimaran THR Raaga Logeswaran Mystery, Thriller"
93,Amaavasai,Rakesh Sawant,Jai Akash,Nupur Mehta,unknown,"Drama, Horror, Thriller","Rakesh Sawant Jai Akash Nupur Mehta unknown Drama, Horror, Thriller"
94,Echcharikkai,K. M. Sarjun,Sathyaraj,Varalaxmi Sarathkumar,Kishore,"Crime, Thriller, Horror","K. M. Sarjun Sathyaraj Varalaxmi Sarathkumar Kishore Crime, Thriller, Horror"
95,Melnaattu Marumagan,MSS,Rajkamal,Andreanne Nouyrigat,Lollu Sabha Manohar,Drama,MSS Rajkamal Andreanne Nouyrigat Lollu Sabha Manohar Drama
96,Asuravadham,M. Maruthupandian,M. Sasikumar,Nandita Swetha,Vasumithra,Action,M. Maruthupandian M. Sasikumar Nandita Swetha Vasumithra Action
97,Vanjagar Ulagam,Manoj Beedha,Guru Somasundaram,Ciby Bhuvana Chandran,Vishagan Sulur Vanangamudi,"Action, Crime, Thriller","Manoj Beedha Guru Somasundaram Ciby Bhuvana Chandran Vishagan Sulur Vanangamudi Action, Crime, Thriller"
98,Inba Twinkle Lilly,R K Vidyadaran,Saranya Ponvannan,Kovai Sarala,Kalpana,"Comedy, Drama","R K Vidyadaran Saranya Ponvannan Kovai Sarala Kalpana Comedy, Drama"
99,Maniyaar Kudumbam,Thambi Ramaiah,Umapathy Ramaiah,Mrudula Murali,Thambi Ramaiah,"Comedy, Romance","Thambi Ramaiah Umapathy Ramaiah Mrudula Murali Thambi Ramaiah Comedy, Romance"
100,Kaala Koothu,M. Nagarajan,Prasanna,Kalaiyarasan,Sai Dhanshika,"Drama, Romance, Thriller","M. Nagarajan Prasanna Kalaiyarasan Sai Dhanshika Drama, Romance, Thriller"
101,Ghajinikanth,Santhosh P. Jayakumar,Arya,Sayesha Saigal,Sathish,"Family, Comedy, Romance","Santhosh P. Jayakumar Arya Sayesha Saigal Sathish Family, Comedy, Romance"
102,Vedigundu Pasangge,Vimala Perumal,Denes Kumar,Sangeeta Krishnasamy,Thangamani Velayudan,"Comedy, Romance, Drama, Family","Vimala Perumal Denes Kumar Sangeeta Krishnasamy Thangamani Velayudan Comedy, Romance, Drama, Family"
103,Nadodi Kanavu,Veera Selva,Mahendran,Subraja,Sujatha Sivakumar,"Drama, Action, Romance","Veera Selva Mahendran Subraja Sujatha Sivakumar Drama, Action, Romance"
104,Avalukkenna Azhagiya Mugam,A. Kesavan,Vijay Karthik,Yogi Babu,Anupama Prakash,,A. Kesavan Vijay Karthik Yogi Babu Anupama Prakash 
105,Yenda Thalaiyila Yenna Vekkala,Vignesh Karthik,Azhar,Sanchita Shetty,Yogi Babu,"Fantasy, Romance, Comedy","Vignesh Karthik Azhar Sanchita Shetty Yogi Babu Fantasy, Romance, Comedy"
106,Panjumittai,S. P. Mohan,Ma Ka Pa Anand,Nikhila Vimal,Sentrayan,"Romance, Comedy, Fantasy","S. P. Mohan Ma Ka Pa Anand Nikhila Vimal Sentrayan Romance, Comedy, Fantasy"
107,Enga Kattula Mazhai,Sribalaji,Sonu Gowda,Appukutty,Chaams,"Comedy, Drama","Sribalaji Sonu Gowda Appukutty Chaams Comedy, Drama"
108,Neeyum Naanum,Unknown,Bala Ganapathi William,K.K. Khanna,Jasmine Michael,,Unknown Bala Ganapathi William K.K. Khanna Jasmine Michael 
109,Kadal Kuthiraigal,Pugazhenthi Thangaraj,Rohini,Thalaivasal Vijay,Bose Venkat,Drama,Pugazhenthi Thangaraj Rohini Thalaivasal Vijay Bose Venkat Drama
110,Abhiyum Anuvum,B. R. Vijayalakshmi,Tovino Thomas,Pia Bajpiee,Rohini,"Drama, Romance","B. R. Vijayalakshmi Tovino Thomas Pia Bajpiee Rohini Drama, Romance"
111,Villavan,Vassan,Vinod Mohana Sundaram,Sangeeta Krishnasamy,Logan Nathan,"Action, Adventure","Vassan Vinod Mohana Sundaram Sangeeta Krishnasamy Logan Nathan Action, Adventure"
112,Padai Veeran,Dhana,Vijay Yesudas,Amritha Aiyer,Bharathiraja,"Drama, Action","Dhana Vijay Yesudas Amritha Aiyer Bharathiraja Drama, Action"
113,Pakka,S. S. Surya,Vikram Prabhu,Bindu Madhavi,Nikki Galrani,"Comedy, Action","S. S. Surya Vikram Prabhu Bindu Madhavi Nikki Galrani Comedy, Action"
114,Thirudathey Papa Thirudathey,Shalini Balasundaram,Saresh D7,Shalini Balasundaram,Kabil Ganesan,"Romance, Comedy, Drama","Shalini Balasundaram Saresh D7 Shalini Balasundaram Kabil Ganesan Romance, Comedy, Drama"
115,Atcham Thavir,S. S. Vikneshwaran,S. Gana,Uthaya THR Raaga,Punnagai Poo Gheetha,Thriller,S. S. Vikneshwaran S. Gana Uthaya THR Raaga Punnagai Poo Gheetha Thriller
116,Kaatu Paya Sir Intha Kaali,Youreka,V.G. Jaiwanth,Adukalam Naren,Aira Agarwal,"Drama, Action","Youreka V.G. Jaiwanth Adukalam Naren Aira Agarwal Drama, Action"
117,The Boy,Arunkumar Senthil,Vinodhini Vaidyanathan,Delhi Ganesh,Hitesh S. Bharathwaaj,Family,Arunkumar Senthil Vinodhini Vaidyanathan Delhi Ganesh Hitesh S. Bharathwaaj Family
118,Koottali,SK Mathi,Sathish,Krisha Kurup,Kausalya,"Romance, Crime, Thriller","SK Mathi Sathish Krisha Kurup Kausalya Romance, Crime, Thriller"
119,Meendum Vaa Arugil Vaa,J. Jaya Rajendra Cholan,Santhosh Prathap,Sai Priya Deva,Aarav Kizar,"Thriller, Horror","J. Jaya Rajendra Cholan Santhosh Prathap Sai Priya Deva Aarav Kizar Thriller, Horror"
120,Variyavan,Karthik Gopal,Parthy KL,Hari Kumar,Jawahar,Drama,Karthik Gopal Parthy KL Hari Kumar Jawahar Drama
121,Pei Irukka Illaya,Pa. Ranjith Kumar,Livingston,Ponnambalam,Jothisha,"Comedy, Horror","Pa. Ranjith Kumar Livingston Ponnambalam Jothisha Comedy, Horror"
122,Bodha,Suresh G,Vicky,Mippu Swamy,Shanmugasundaram,"Comedy, Crime","Suresh G Vicky Mippu Swamy Shanmugasundaram Comedy, Crime"
123,Ezhumin,VP Viji,Vivek,Devayani,N. Azhagamperumal,Action,VP Viji Vivek Devayani N. Azhagamperumal Action
124,Sughamaai Subbulakshmi,Karthik Shamalan,Saresh D7,Punitah Shanmugam,Bhagya Arivuckarasu,"Comedy, Drama, Romance","Karthik Shamalan Saresh D7 Punitah Shanmugam Bhagya Arivuckarasu Comedy, Drama, Romance"
125,Amutha,P. S. Arjun,Sriya Sree,Anees Shaz,Levin Simon Joseph,"Thriller, Crime, Music","P. S. Arjun Sriya Sree Anees Shaz Levin Simon Joseph Thriller, Crime, Music"
126,Keni,Nishad M A,Jaya Prada,R. Parthiban,Revathi,Drama,Nishad M A Jaya Prada R. Parthiban Revathi Drama
127,Vinodhan,Victor Jayaraj,Varun Kamal,Vedhika,Salony Luthra,Drama,Victor Jayaraj Varun Kamal Vedhika Salony Luthra Drama
128,Kilambitaangayaa Kilambitaangayaa,Razak,K. Bhagyaraj,Mansoor Ali Khan,Powerstar Srinivasan,"Comedy, Drama","Razak K. Bhagyaraj Mansoor Ali Khan Powerstar Srinivasan Comedy, Drama"
129,Koothan,Venky Al,La. Rajkumar,Srijitha Ghosh,Kira Narayanan,"Drama, Romance","Venky Al La. Rajkumar Srijitha Ghosh Kira Narayanan Drama, Romance"
130,Saranalayam,Irasu Jaganathan,Ashwin Kumar,Sri Priyanka,Singampuli,"Thriller, Action, Romance","Irasu Jaganathan Ashwin Kumar Sri Priyanka Singampuli Thriller, Action, Romance"
131,Kadikara Manithargal,Vaigarai Balan,Karunakaran,Kishore,Sherin Pilakkal,"Drama, Family, Romance","Vaigarai Balan Karunakaran Kishore Sherin Pilakkal Drama, Family, Romance"
132,Manusangada,Amshan Kumar,Rajeev Anand,Manimegalai,Vidhur Rajarajan,Drama,Amshan Kumar Rajeev Anand Manimegalai Vidhur Rajarajan Drama
133,Aaraam Thinai,Unknown,Ravi Mariya,Rajendran,Lavanya,,Unknown Ravi Mariya Rajendran Lavanya 
134,Vinveli Payana Kurippugal,R. Jayaprakash,Athvik Jalandhar,Pooja Ramachandran,Jogikumar,"Thriller, Comedy","R. Jayaprakash Athvik Jalandhar Pooja Ramachandran Jogikumar Thriller, Comedy"
135,Ghora,Devendran Arunasalam,Karnan GCrak,Mugen Rao,Yasmin Nadiah,Horror,Devendran Arunasalam Karnan GCrak Mugen Rao Yasmin Nadiah Horror
136,Samuga Valaithalam,Eesan,Badri,Priya,Padma,Drama,Eesan Badri Priya Padma Drama
137,Thollaikatchi,M. Sadiq Khan,Ashwin Kakumanu,Janani Iyer,Subbu Panchu,"Romance, Comedy","M. Sadiq Khan Ashwin Kakumanu Janani Iyer Subbu Panchu Romance, Comedy"
138,Roja Maaligai,Unknown,Amaran,Soumiya,Adukalam Naren,"Drama, Thriller","Unknown Amaran Soumiya Adukalam Naren Drama, Thriller"
139,Kattam,Rajan Madhav,Sshivada Nair,Nandhan Ram,Nivas Adithan,"Thriller, Crime","Rajan Madhav Sshivada Nair Nandhan Ram Nivas Adithan Thriller, Crime"
140,Papparapaam,Sasikumaran,Vinoth Kishan,Ishara Nair,John Vijay,"Romance, Comedy","Sasikumaran Vinoth Kishan Ishara Nair John Vijay Romance, Comedy"
141,Ticket,Raaghav,Raaghav,Karthik Kumar,Lakshmi Priyaa,"Thriller, Comedy, Romance","Raaghav Raaghav Karthik Kumar Lakshmi Priyaa Thriller, Comedy, Romance"
142,6 Athiyayam,Ajayan Bala,Vinoth Kishan,Kishore DS,Thaman Kumar,"Thriller, Horror","Ajayan Bala Vinoth Kishan Kishore DS Thaman Kumar Thriller, Horror"
